"controlNumber","invTime","rho_x","rho_y","rho_xy","omega","tau","post_Inv_Length","timeLength","Sd_gap_1","Sd_gap_n"
10,40,0.5,0.1,0.5,0.5,0.5,1,41,1.0635,1.0635
30,40,0.5,0.1,0.5,0.5,0.5,1,41,0.9428,0.9428
10,10,0.1,0.5,0.5,0.5,0.5,1,11,0.7732,0.7732
30,10,0.1,0.5,0.5,0.5,0.5,1,11,0.7219,0.7219
10,40,0.1,0.5,0.5,0.5,0.5,1,41,0.7627,0.7627
30,40,0.1,0.5,0.5,0.5,0.5,1,41,0.6912,0.6912
10,10,0.5,0.5,0.5,0.5,0.5,1,11,0.7609,0.7609
30,10,0.5,0.5,0.5,0.5,0.5,1,11,0.8159,0.8159
10,40,0.5,0.5,0.5,0.5,0.5,1,41,0.7458,0.7458
30,40,0.5,0.5,0.5,0.5,0.5,1,41,0.7296,0.7296
10,10,0.1,0.1,0.1,0,0,5,15,1.0267,0.5006
30,10,0.1,0.1,0.1,0,0,5,15,1.022,0.4527
10,40,0.1,0.1,0.1,0,0,5,45,1.2376,0.5192
30,40,0.1,0.1,0.1,0,0,5,45,1.088,0.434
10,10,0.5,0.1,0.1,0,0,5,15,0.9937,0.4364
30,10,0.5,0.1,0.1,0,0,5,15,0.9479,0.4415
10,40,0.5,0.1,0.1,0,0,5,45,0.9553,0.4558
30,40,0.5,0.1,0.1,0,0,5,45,0.9851,0.4485
10,10,0.1,0.5,0.1,0,0,5,15,0.8726,0.3788
30,10,0.1,0.5,0.1,0,0,5,15,0.7535,0.3587
10,40,0.1,0.5,0.1,0,0,5,45,0.7696,0.3397
30,40,0.1,0.5,0.1,0,0,5,45,0.7371,0.3359
10,10,0.5,0.5,0.1,0,0,5,15,0.7846,0.3842
30,10,0.5,0.5,0.1,0,0,5,15,0.7592,0.3221
10,40,0.5,0.5,0.1,0,0,5,45,0.7431,0.3463
30,40,0.5,0.5,0.1,0,0,5,45,0.7451,0.3091
10,10,0.1,0.1,0.5,0,0,5,15,0.9991,0.4963
30,10,0.1,0.1,0.5,0,0,5,15,0.9912,0.4067
10,40,0.1,0.1,0.5,0,0,5,45,0.9676,0.4519
30,40,0.1,0.1,0.5,0,0,5,45,0.9591,0.3958
10,10,0.5,0.1,0.5,0,0,5,15,1.0389,0.4482
30,10,0.5,0.1,0.5,0,0,5,15,0.9546,0.4601
10,40,0.5,0.1,0.5,0,0,5,45,0.9713,0.426
30,40,0.5,0.1,0.5,0,0,5,45,0.882,0.4223
10,10,0.1,0.5,0.5,0,0,5,15,0.7394,0.3382
30,10,0.1,0.5,0.5,0,0,5,15,0.7362,0.3104
10,40,0.1,0.5,0.5,0,0,5,45,0.7849,0.3534
30,40,0.1,0.5,0.5,0,0,5,45,0.7372,0.2942
10,10,0.5,0.5,0.5,0,0,5,15,0.7574,0.3473
30,10,0.5,0.5,0.5,0,0,5,15,0.757,0.3684
10,40,0.5,0.5,0.5,0,0,5,45,0.724,0.3212
30,40,0.5,0.5,0.5,0,0,5,45,0.6805,0.3204
10,10,0.1,0.1,0.1,0.5,0,5,15,1.1064,0.5294
30,10,0.1,0.1,0.1,0.5,0,5,15,1.0543,0.4734
10,40,0.1,0.1,0.1,0.5,0,5,45,1.0973,0.4541
30,40,0.1,0.1,0.1,0.5,0,5,45,0.9909,0.468
10,10,0.5,0.1,0.1,0.5,0,5,15,1.0417,0.4407
30,10,0.5,0.1,0.1,0.5,0,5,15,0.8997,0.4141
10,40,0.5,0.1,0.1,0.5,0,5,45,1.1227,0.4263
30,40,0.5,0.1,0.1,0.5,0,5,45,1.0047,0.506
10,10,0.1,0.5,0.1,0.5,0,5,15,0.843,0.3641
30,10,0.1,0.5,0.1,0.5,0,5,15,0.7838,0.3924
10,40,0.1,0.5,0.1,0.5,0,5,45,0.9215,0.3508
30,40,0.1,0.5,0.1,0.5,0,5,45,0.7807,0.3358
10,10,0.5,0.5,0.1,0.5,0,5,15,0.8098,0.3802
30,10,0.5,0.5,0.1,0.5,0,5,15,0.7706,0.3188
10,40,0.5,0.5,0.1,0.5,0,5,45,0.761,0.3257
30,40,0.5,0.5,0.1,0.5,0,5,45,0.7934,0.3604
10,10,0.1,0.1,0.5,0.5,0,5,15,1.0939,0.5251
30,10,0.1,0.1,0.5,0.5,0,5,15,1.0422,0.4712
10,40,0.1,0.1,0.5,0.5,0,5,45,1.1162,0.4755
30,40,0.1,0.1,0.5,0.5,0,5,45,0.9552,0.4615
10,10,0.5,0.1,0.5,0.5,0,5,15,1.2014,0.4395
30,10,0.5,0.1,0.5,0.5,0,5,15,0.9274,0.4545
10,40,0.5,0.1,0.5,0.5,0,5,45,1.0484,0.4173
30,40,0.5,0.1,0.5,0.5,0,5,45,1.069,0.4361
10,10,0.1,0.5,0.5,0.5,0,5,15,0.8272,0.3715
30,10,0.1,0.5,0.5,0.5,0,5,15,0.7839,0.3513
10,40,0.1,0.5,0.5,0.5,0,5,45,0.8215,0.3472
30,40,0.1,0.5,0.5,0.5,0,5,45,0.7863,0.3589
10,10,0.5,0.5,0.5,0.5,0,5,15,0.7669,0.3553
30,10,0.5,0.5,0.5,0.5,0,5,15,0.8257,0.3519
10,40,0.5,0.5,0.5,0.5,0,5,45,0.791,0.376
30,40,0.5,0.5,0.5,0.5,0,5,45,0.7992,0.3283
10,10,0.1,0.1,0.1,0,0.5,5,15,1.0321,0.4667
30,10,0.1,0.1,0.1,0,0.5,5,15,0.9046,0.4266
10,40,0.1,0.1,0.1,0,0.5,5,45,0.9368,0.4237
30,40,0.1,0.1,0.1,0,0.5,5,45,0.9463,0.4742
10,10,0.5,0.1,0.1,0,0.5,5,15,1.0388,0.4219
30,10,0.5,0.1,0.1,0,0.5,5,15,0.919,0.4197
10,40,0.5,0.1,0.1,0,0.5,5,45,0.9438,0.4051
30,40,0.5,0.1,0.1,0,0.5,5,45,0.9349,0.4203
10,10,0.1,0.5,0.1,0,0.5,5,15,0.7203,0.3589
30,10,0.1,0.5,0.1,0,0.5,5,15,0.7022,0.333
10,40,0.1,0.5,0.1,0,0.5,5,45,0.7519,0.3291
30,40,0.1,0.5,0.1,0,0.5,5,45,0.7463,0.3214
10,10,0.5,0.5,0.1,0,0.5,5,15,0.6778,0.3449
30,10,0.5,0.5,0.1,0,0.5,5,15,0.6904,0.3275
10,40,0.5,0.5,0.1,0,0.5,5,45,0.7348,0.3302
30,40,0.5,0.5,0.1,0,0.5,5,45,0.7246,0.3334
10,10,0.1,0.1,0.5,0,0.5,5,15,1.0223,0.5018
30,10,0.1,0.1,0.5,0,0.5,5,15,0.9956,0.4218
10,40,0.1,0.1,0.5,0,0.5,5,45,1.0048,0.4353
30,40,0.1,0.1,0.5,0,0.5,5,45,0.9776,0.4827
10,10,0.5,0.1,0.5,0,0.5,5,15,0.9772,0.4745
30,10,0.5,0.1,0.5,0,0.5,5,15,0.9589,0.4039
10,40,0.5,0.1,0.5,0,0.5,5,45,1.0185,0.4374
30,40,0.5,0.1,0.5,0,0.5,5,45,0.9235,0.4272
10,10,0.1,0.5,0.5,0,0.5,5,15,0.7365,0.3349
30,10,0.1,0.5,0.5,0,0.5,5,15,0.7777,0.3603
10,40,0.1,0.5,0.5,0,0.5,5,45,0.7107,0.3673
30,40,0.1,0.5,0.5,0,0.5,5,45,0.6856,0.3181
10,10,0.5,0.5,0.5,0,0.5,5,15,0.7637,0.3476
30,10,0.5,0.5,0.5,0,0.5,5,15,0.7784,0.3376
