"controlNumber","invTime","rho_x","rho_y","rho_xy","omega","tau","post_Inv_Length","timeLength","Sd_gap_1","Sd_gap_n"
30,40,0.1,0.5,0.1,0.5,0.5,5,45,0.5126,0.2273
10,10,0.5,0.5,0.1,0.5,0.5,5,15,0.4558,0.254
30,10,0.5,0.5,0.1,0.5,0.5,5,15,0.5367,0.2268
10,40,0.5,0.5,0.1,0.5,0.5,5,45,0.5406,0.2434
30,40,0.5,0.5,0.1,0.5,0.5,5,45,0.4884,0.2323
10,10,0.1,0.1,0.5,0.5,0.5,5,15,0.1689,0.0767
30,10,0.1,0.1,0.5,0.5,0.5,5,15,0.1276,0.0623
10,40,0.1,0.1,0.5,0.5,0.5,5,45,0.1529,0.0792
30,40,0.1,0.1,0.5,0.5,0.5,5,45,0.1098,0.0531
10,10,0.5,0.1,0.5,0.5,0.5,5,15,0.1995,0.1005
30,10,0.5,0.1,0.5,0.5,0.5,5,15,0.1401,0.0734
10,40,0.5,0.1,0.5,0.5,0.5,5,45,0.1966,0.1026
30,40,0.5,0.1,0.5,0.5,0.5,5,45,0.1609,0.0709
10,10,0.1,0.5,0.5,0.5,0.5,5,15,0.5029,0.254
30,10,0.1,0.5,0.5,0.5,0.5,5,15,0.5053,0.2287
10,40,0.1,0.5,0.5,0.5,0.5,5,45,0.4791,0.2194
30,40,0.1,0.5,0.5,0.5,0.5,5,45,0.4637,0.2343
10,10,0.5,0.5,0.5,0.5,0.5,5,15,0.5586,0.269
30,10,0.5,0.5,0.5,0.5,0.5,5,15,0.5239,0.2353
10,40,0.5,0.5,0.5,0.5,0.5,5,45,0.5392,0.2526
30,40,0.5,0.5,0.5,0.5,0.5,5,45,0.5311,0.2557
10,10,0.1,0.1,0.1,0,0,20,30,0.1686,0.0372
30,10,0.1,0.1,0.1,0,0,20,30,0.1381,0.0291
10,40,0.1,0.1,0.1,0,0,20,60,0.1747,0.038
30,40,0.1,0.1,0.1,0,0,20,60,0.1196,0.0286
10,10,0.5,0.1,0.1,0,0,20,30,0.2011,0.0494
30,10,0.5,0.1,0.1,0,0,20,30,0.1324,0.0292
10,40,0.5,0.1,0.1,0,0,20,60,0.194,0.0417
30,40,0.5,0.1,0.1,0,0,20,60,0.1269,0.0334
10,10,0.1,0.5,0.1,0,0,20,30,0.543,0.1081
30,10,0.1,0.5,0.1,0,0,20,30,0.5116,0.1191
10,40,0.1,0.5,0.1,0,0,20,60,0.4582,0.1223
30,40,0.1,0.5,0.1,0,0,20,60,0.5155,0.1033
10,10,0.5,0.5,0.1,0,0,20,30,0.5045,0.12
30,10,0.5,0.5,0.1,0,0,20,30,0.463,0.1194
10,40,0.5,0.5,0.1,0,0,20,60,0.5263,0.125
30,40,0.5,0.5,0.1,0,0,20,60,0.5121,0.1275
10,10,0.1,0.1,0.5,0,0,20,30,0.1635,0.0401
30,10,0.1,0.1,0.5,0,0,20,30,0.1392,0.0305
